Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
2009-10-01,2301.0,2344.9,2290.0,2325.75,2329.423759201581,163423,5594,380681419.0,61659.0,37.73,54.9,24.75
2009-09-30,2290.05,2325.0,2290.05,2308.4,2314.030689227478,87881,3845,203359331.0,28009.0,31.87,34.95,18.35
2009-09-29,2268.0,2299.7,2260.0,2287.8,2288.9998957247126,76720,3688,175612072.0,17587.0,22.92,39.7,19.8
2009-09-25,2252.0,2275.0,2235.0,2245.3,2250.2502235394013,177821,7581,400141745.0,58759.0,33.04,40.0,-6.7
2009-09-24,2349.7,2349.7,2261.5,2285.1,2278.2982830946244,333740,10978,760359269.0,126628.0,37.94,88.2,-64.6
2009-09-23,2405.0,2405.0,2360.0,2365.55,2378.349993850695,81310,3661,193383638.0,21857.0,26.88,45.0,-39.45
2009-09-22,2367.0,2414.7,2341.0,2405.6,2396.5116370065507,138008,5630,330737778.0,41866.0,30.34,73.7,38.6
2009-09-18,2370.1,2388.0,2350.0,2363.8,2368.8426820950635,85038,4147,201441644.0,18550.0,21.81,38.0,-6.3
2009-09-17,2327.0,2367.0,2320.05,2360.9,2349.650120833958,146482,6488,344181449.0,53392.0,36.45,46.95,33.9
2009-09-16,2282.5,2324.4,2273.4,2317.65,2293.1440754138866,225847,6413,517899710.0,113079.0,50.07,51.0,35.15
2009-09-15,2250.2,2275.0,2240.05,2270.05,2262.5598939550478,153897,4662,348201180.0,77169.0,50.14,34.95,19.85
2009-09-14,2245.0,2259.9,2240.6,2250.55,2249.0828062664195,113047,2658,254252064.0,62008.0,54.85,19.3,5.55
2009-09-11,2250.25,2271.9,2245.05,2266.0,2259.1245771748568,141607,6143,319907854.0,60077.0,42.43,26.85,15.75
2009-09-10,2206.0,2248.05,2202.35,2235.1,2230.1606123925094,124430,5430,277498885.0,42801.0,34.4,45.7,29.1
2009-09-09,2200.05,2216.9,2178.0,2193.1,2195.793970871318,137665,4791,302283977.0,40492.0,29.41,38.9,-6.95
2009-09-08,2187.0,2235.0,2185.0,2200.05,2206.3020940969027,105487,5028,232736189.0,35091.0,33.27,50.0,13.05
2009-09-07,2210.0,2228.0,2195.35,2223.4,2216.1110830532384,114842,5444,254502629.0,32431.0,28.24,32.65,13.4
2009-09-04,2200.0,2214.9,2138.2,2200.35,2193.249747609029,129759,5692,284593894.0,36197.0,27.9,76.7,0.35
2009-09-03,2170.05,2200.0,2135.15,2188.2,2181.4201733040536,134792,6565,294037988.0,32367.0,24.01,64.85,18.15
2009-09-02,2130.0,2178.0,2127.15,2165.2,2160.8544155480276,78518,3814,169665967.0,17731.0,22.58,50.85,35.2
2009-09-01,2139.8,2189.7,2122.35,2142.65,2157.7020327292494,134253,5179,289677971.0,39818.0,29.66,67.35,2.85
2009-08-31,2168.0,2168.0,2125.0,2132.3,2135.438058231469,74118,3984,158274398.0,19256.0,25.98,43.0,-35.7
2009-08-28,2185.0,2199.0,2142.5,2187.65,2166.929752004972,135164,4962,292890893.0,57858.0,42.81,56.5,2.65
2009-08-27,2180.0,2202.7,2121.2,2189.75,2189.283335541941,196202,8293,429541769.0,69880.0,35.62,81.5,9.75
2009-08-26,2105.0,2188.0,2098.0,2181.35,2172.270717667228,254324,10578,552460578.0,118442.0,46.57,90.0,76.35
2009-08-25,2068.0,2104.0,2041.0,2096.1,2079.4980005543016,151542,5213,315131286.0,63498.0,41.9,63.0,28.1
2009-08-24,2041.0,2082.4,2041.0,2076.15,2070.7800991409517,115593,4260,239367684.0,56047.0,48.49,41.4,35.15
2009-08-21,1993.05,2036.15,1972.0,2028.5,2006.5275678833618,232789,6106,467097546.0,114905.0,49.36,64.15,35.45
2009-08-20,1970.4,1995.0,1955.05,1992.8,1991.0063141170508,219033,2765,436096086.0,178295.0,81.4,39.95,22.4
2009-08-19,1985.0,1988.0,1936.0,1950.7,1953.0933975852438,150657,4500,294247192.0,68551.0,45.5,52.0,-34.3
2009-08-18,1974.95,1999.0,1957.0,1971.4,1974.9548186542784,145082,4893,286530395.0,52946.0,36.49,42.0,-3.55
2009-08-17,2015.0,2018.7,1971.25,1983.05,1987.6805327771722,105485,4806,209670481.0,48604.0,46.08,47.45,-31.95
2009-08-14,2060.0,2064.0,2026.05,2039.85,2038.183054146977,63697,3242,129826146.0,7931.0,12.45,37.95,-20.15
2009-08-13,2055.05,2081.0,2039.0,2065.2,2059.1575349781056,102993,4851,212078812.0,28116.0,27.3,42.0,10.15
2009-08-12,2080.0,2080.0,2000.0,2042.75,2035.069779978153,70493,4630,143458174.0,13331.0,18.91,80.0,-37.25
2009-08-11,2085.0,2109.0,2055.0,2081.65,2085.7687575684186,123870,5467,258364176.0,32889.0,26.55,54.0,-3.35
2009-08-10,2052.0,2113.0,2050.05,2086.8,2094.4929238074574,225757,7488,472846439.0,89394.0,39.6,62.95,34.8
2009-08-07,2025.0,2056.0,2015.0,2041.9,2044.5808458335425,79732,3928,163018520.0,15580.0,19.54,41.0,16.9
2009-08-06,2098.0,2100.0,2040.0,2054.6,2070.245614035088,105279,4505,217953388.0,23355.0,22.18,60.0,-43.4
2009-08-05,2050.55,2105.0,2050.55,2094.55,2090.5347514433897,163504,6180,341810794.0,54414.0,33.28,54.45,44.0
2009-08-04,2080.25,2100.0,2022.0,2043.65,2039.410006904488,108625,5397,221530912.0,23512.0,21.65,78.0,-36.6
2009-08-03,2060.0,2085.0,2040.4,2075.85,2065.5271315341915,124652,4715,257472088.0,34828.0,27.94,44.6,15.85
2009-07-31,2031.0,2076.95,2021.1,2063.9,2048.9735964516813,301664,9174,618101571.0,127491.0,42.26,55.85,32.9
2009-07-30,1980.9,2018.7,1980.9,2010.4,2007.22172852096,274570,7609,551122870.0,130431.0,47.5,37.8,29.5
