Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
2019-04-05,1376.3,1392.8,1368.95,1373.55,1373.6239102124923,573621,4697,787939521.0,476780.0,83.12,23.85,-2.75
2019-04-04,1391.0,1393.3,1366.0,1368.95,1377.9770884875272,102263,3949,140916071.0,34558.0,33.79,27.3,-22.05
2019-04-03,1411.9,1415.0,1376.0,1379.9,1390.5737341839974,139969,4453,194637215.0,55167.0,39.41,39.0,-32.0
2019-04-02,1414.0,1427.0,1404.0,1409.7,1417.2938963426157,174633,7265,247506285.0,66386.0,38.01,23.0,-4.3
2019-04-01,1387.0,1423.15,1387.0,1412.45,1413.6083710757734,548675,8269,775611573.0,393986.0,71.81,36.15,25.45
2019-03-29,1389.3,1405.0,1380.0,1384.05,1395.4456206619443,294919,5040,411543427.0,196727.0,66.71,25.0,-5.25
2019-03-28,1368.0,1390.0,1365.0,1384.05,1373.5514094363411,172906,3955,237495280.0,77805.0,45.0,25.0,16.05
2019-03-27,1376.3,1390.75,1363.0,1367.8,1375.0855738785074,109274,3427,150261101.0,45879.0,41.99,27.75,-8.5
2019-03-26,1378.5,1389.0,1366.7,1372.1,1375.7468375378137,151069,3940,207832699.0,71666.0,47.44,22.3,-6.4
2019-03-25,1388.0,1391.3,1370.0,1377.2,1377.774429240384,109766,4228,151232788.0,50721.0,46.21,21.3,-10.8
2019-03-22,1375.55,1414.95,1375.55,1394.0,1402.687320785459,495914,9516,695612280.0,287264.0,57.93,39.4,18.45
2019-03-20,1364.8,1381.8,1361.25,1372.85,1374.7437248097763,978058,6782,1344579098.0,766912.0,78.41,20.55,8.05
2019-03-19,1373.95,1376.95,1347.95,1356.75,1354.077126667553,308311,10808,417476873.0,154111.0,49.99,29.0,-17.2
2019-03-18,1397.35,1411.3,1370.25,1378.85,1386.6564331865486,176903,6139,245303683.0,61623.0,34.83,41.05,-18.5
2019-03-15,1379.3,1408.9,1379.0,1397.35,1398.2724112648189,452808,9141,633148934.0,242528.0,53.56,29.9,18.05
2019-03-14,1378.7,1395.0,1376.75,1379.3,1384.0317914295442,102795,4111,142271548.0,37106.0,36.1,18.25,0.6
