Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
12-July-2019,356.50,357.25,348.00,350.50,352.439032749570653165,268431,3222,94605562.00,25467,9.49,9.25,-6.00
11-July-2019,334.05,358.50,334.05,354.65,347.247899390996552710,563051,6741,195518277.00,59343,10.54,24.45,20.60
10-July-2019,333.00,340.70,330.40,332.80,333.902387287470297212,948985,5585,316868357.00,531106,55.97,10.30,-0.20
9-July-2019,338.00,340.45,327.05,331.60,331.982968411108303368,1119919,6717,371794034.00,649531,58.00,13.40,-6.40
8-July-2019,346.00,347.75,332.00,334.35,338.288959279954759899,252873,3272,85544144.00,45359,17.94,15.75,-11.65
5-July-2019,358.60,360.00,343.85,345.75,352.719114081713199075,195097,2901,68814441.00,24749,12.69,16.15,-12.85
4-July-2019,362.00,366.90,355.60,356.40,361.771142177976766566,364733,4526,131949874.00,40902,11.21,11.30,-5.60
3-July-2019,354.40,365.00,352.50,360.75,361.080915363627423401,437247,4534,157881547.00,24237,5.54,12.50,6.35
2-July-2019,360.00,368.80,352.70,356.20,360.152107497400982530,784912,9202,282687711.00,62269,7.93,16.10,-3.80
1-July-2019,337.00,367.00,330.55,358.85,347.121829832912270810,645589,7295,224098035.00,71723,11.11,36.45,21.85
28-June-2019,342.10,344.05,335.35,338.40,339.602554204105077450,268107,3217,91049822.00,33137,12.36,8.70,-3.70
27-June-2019,343.00,347.00,337.80,343.55,342.438731212064015576,201326,2756,68941820.00,26951,13.39,9.20,0.55
26-June-2019,340.95,346.30,338.90,342.95,342.958825476464234695,229608,2501,78746090.00,19797,8.62,7.40,2.00
25-June-2019,337.50,345.35,325.00,343.00,335.454278198551495108,724195,10601,242934311.00,56961,7.87,20.35,5.50
24-June-2019,346.50,351.00,334.00,341.20,345.603083613362324570,172006,2508,59445804.00,25253,14.68,17.00,-5.30
21-June-2019,351.00,356.00,343.65,345.75,349.612833127830747256,245739,3177,85913508.00,26970,10.98,12.35,-5.25
20-June-2019,352.00,355.85,342.15,351.85,349.990572302562327359,283102,3837,99083031.00,12928,4.57,13.70,-0.15
19-June-2019,343.80,358.15,340.70,353.20,348.132171424678067725,366925,5730,127738397.00,62612,17.06,17.45,9.40
18-June-2019,340.20,349.70,333.85,339.75,343.385561508366624343,581238,7254,199588737.00,61326,10.55,15.85,-0.45
17-June-2019,340.50,341.30,334.05,338.05,337.462830187066836442,234034,2726,78977776.00,32756,14.00,7.25,-2.45
14-June-2019,352.20,352.50,326.20,336.80,335.938588615326757381,803027,9976,269767757.00,51183,6.37,26.30,-15.40
13-June-2019,340.65,354.25,337.40,352.35,348.521658824716709161,525167,5089,183032074.00,173243,32.99,16.85,11.70
12-June-2019,345.10,349.25,339.45,342.45,343.629640514300708475,190550,2790,65478628.00,28777,15.10,9.80,-2.65
11-June-2019,336.10,349.30,332.15,345.75,342.566140778115813780,428291,4469,146717995.00,56891,13.28,17.15,9.65
10-June-2019,345.00,346.00,329.75,335.70,336.894082146968263612,390057,6623,131407895.00,59418,15.23,16.25,-9.30
7-June-2019,343.50,346.30,336.00,340.00,340.210730557511821435,278308,3616,94683368.00,37257,13.39,10.30,-3.50
6-June-2019,339.80,345.50,333.75,341.10,339.332289399881302875,687464,7521,233278733.00,148047,21.54,11.75,1.30
4-June-2019,360.00,360.00,345.00,346.15,350.314872306423867349,392972,5730,137663936.00,68034,17.31,15.00,-13.85
3-June-2019,360.00,366.00,353.30,359.35,358.497584232159253963,390973,5487,140162876.00,76433,19.55,12.70,-0.65
31-May-2019,369.10,372.20,352.75,357.45,360.141922692379386893,413077,5612,148766345.00,67074,16.24,19.45,-11.65
30-May-2019,375.00,375.00,361.70,365.70,367.088951750297341605,311090,4686,114197702.00,44611,14.34,13.30,-9.30
29-May-2019,377.70,379.30,368.00,372.20,372.333179913798294892,464956,6773,173118546.00,60755,13.07,11.30,-5.50
28-May-2019,370.90,384.25,353.00,382.00,372.878059913280880473,1873174,24703,698465487.00,327007,17.46,31.25,11.10
27-May-2019,374.80,376.50,358.00,361.05,367.825699661504154631,499563,6839,183752110.00,75538,15.12,18.50,-13.75
24-May-2019,362.50,380.30,355.90,375.90,371.845574989241409946,936461,12239,348218879.00,94818,10.13,24.40,13.40
23-May-2019,350.00,364.90,349.00,360.95,358.687747011126710909,970098,9354,347962266.00,303581,31.29,15.90,10.95
22-May-2019,350.80,350.80,340.35,342.80,343.905455960862298602,542086,5886,186426333.00,60581,11.18,10.45,-8.00
21-May-2019,362.90,367.50,344.85,348.10,353.365600377387357523,627472,8515,221727020.00,57287,9.13,22.65,-14.80
20-May-2019,382.05,394.65,355.60,363.45,365.276904437761026966,867487,15239,316872966.00,104968,12.10,39.05,-18.60
17-May-2019,350.10,378.40,347.30,372.20,359.093994850202787079,1447824,16019,519904904.00,327768,22.64,31.10,22.10
16-May-2019,325.00,350.00,318.20,345.55,335.653538184328972680,1354155,19827,454526917.00,126526,9.34,31.80,20.55
15-May-2019,348.00,349.45,309.60,323.10,325.961911791871686164,2620076,29371,854044982.00,191604,7.31,39.85,-24.90
14-May-2019,343.10,352.20,332.15,345.95,343.999125663707019869,722834,10455,248654264.00,35467,4.91,20.05,2.85
13-May-2019,372.80,372.85,338.70,342.05,353.098862275802275448,678196,8733,239470236.00,37778,5.57,34.15,-30.75
10-May-2019,361.10,372.80,360.85,370.30,367.524045251488683129,625217,9347,229782281.00,47540,7.60,11.95,9.20
9-May-2019,341.00,362.45,336.15,357.65,352.336113966106556397,1882665,26856,663330870.00,123266,6.55,26.30,16.65
8-May-2019,371.00,372.50,322.45,333.30,342.510516205139810707,3075444,43184,1053371912.00,241561,7.85,50.05,-37.70
7-May-2019,391.00,393.40,347.05,369.20,369.917795166792206608,1042165,15004,385515379.00,137605,13.20,46.35,-21.80
6-May-2019,410.70,410.90,385.60,388.15,396.078882643501958780,293550,4429,116268956.00,75784,25.82,25.30,-22.55
3-May-2019,418.45,422.45,410.00,411.10,415.073608756470337972,155131,2091,64390784.00,30591,19.72,12.45,-7.35
2-May-2019,431.55,434.90,417.10,418.45,425.946595017338481591,162644,2163,69277658.00,24425,15.02,17.80,-13.10
30-April-2019,419.10,439.95,414.75,432.25,429.037192112419245822,508952,9393,218359337.00,129217,25.39,25.20,13.15
26-April-2019,419.90,425.90,415.25,418.00,420.270743836240322004,162482,2420,68286431.00,31053,19.11,10.65,-1.90
